Actual,Predicted
14,13.998943
15,14.99873
22,21.998936
39,38.99896
30,29.998617
26,25.998648
11,10.998714
18,17.998705
33,32.998894
18,17.998772
23,22.998814
27,26.998453
29,28.998644
31,30.998718
33,32.998672
23,22.998672
19,18.9987
12,11.998707
8,7.998815
32,31.998856
33,32.99865
21,20.998749
34,33.998714
13,12.998594
29,28.998693
29,28.99863
31,30.998602
10,9.998819
32,31.998768
36,35.998627
37,36.998493
29,28.99859
33,32.998474
33,32.99842
33,32.99827
8,7.998531
31,30.998613
32,31.998627
34,33.99859
26,25.998663
31,30.998554
32,31.998545
28,27.998562
33,32.998543
24,23.998558
38,37.9985
34,33.998585
37,36.99862
18,17.998644
33,32.998512
39,38.99862
20,19.99861
37,36.99856
37,36.998497
42,41.998478
15,14.998481
30,29.998526
31,30.998432
30,29.998537
32,31.998795
31,30.998655
33,32.998684
35,34.99861
26,25.998598
23,22.998737
42,41.998768
27,26.9985
35,34.9986
35,34.998627
27,26.998573
44,43.998493
28,27.998438
28,27.998589
14,13.998547
33,32.998688
30,29.998766
33,32.99869
26,25.998703
37,36.99853
21,20.998543
28,27.998678
23,22.998669
37,36.998688
34,33.99865
36,35.998535
35,34.998466
31,30.998455
24,23.998512
42,41.99861
20,19.998707
30,29.998646
44,43.998646
24,23.998447
29,28.998663
39,38.99849
38,37.99855
33,32.998596
35,34.9986
35,34.998497
29,28.998594
40,39.998585
31,30.99852
30,29.998611
27,26.998491
31,30.998701
39,38.99859
39,38.99865
32,31.99851
22,21.998442
0,-0.00024944544
7,6.999559
0,-0.0003578663
0,-0.00028192997
5,4.9995747
2,1.999534
2,1.9997056
0,-0.0002782941
8,7.999545
0,-0.00034493208
2,1.9996685
5,4.9994574
7,6.9994326
0,-0.00036746264
11,10.999369
10,9.999313
10,9.999331
10,9.999096
8,7.9991055
3,2.999228
7,6.999372
8,7.9992857
0,-0.0006201863
0,-0.00044715405
3,2.9995875
0,-0.00035136938
8,7.999628
6,5.9995112
7,6.9994526
4,3.999425
2,1.9993197
6,5.999409
6,5.9994345
2,1.99946
5,4.9993854
4,3.9993572
10,9.999205
7,6.999255
11,10.999284
2,1.9993197
0,-0.00082194805
13,12.999267
2,1.9993852
2,1.9994605
10,9.999311
2,1.9993144
23,22.999193
24,23.999174
9,8.999
14,13.9988575
12,11.99877
4,3.9989014
35,34.998985
15,14.998771
24,23.998743
19,18.998789
19,18.99885
18,17.998701
29,28.998898
11,10.998823
17,16.99881
19,18.998726
18,17.998714
16,15.998798
16,15.998504
16,15.99879
24,23.998848
15,14.998628
33,32.998688
29,28.998732
12,11.998625
29,28.99883
40,39.998726
16,15.998624
12,11.998726
15,14.998684
9,8.998736
22,21.998966
23,22.998796
15,14.998541
16,15.998723
11,10.99876
16,15.998717
27,26.998665
22,21.998758
11,10.998699
4,3.9988022
22,21.99884
27,26.998795
14,13.998918
15,14.998872
19,18.998772
5,4.998752
11,10.998838
8,7.9988565
15,14.998962
16,15.998804
26,25.99878
14,13.998625
28,27.998756
0,-0.0012487173
6,5.998992
21,20.999023
18,17.998932
17,16.99907
24,23.998917
23,22.998867
27,26.99867
30,29.998777
10,9.998558
14,13.998632
13,12.998735
9,8.998916
3,2.9989982
5,4.9989386
15,14.999221
14,13.999019
17,16.998924
9,8.99887
19,18.998905
12,11.998887
15,14.998897
20,19.998812
24,23.99882
15,14.998831
21,20.998827
16,15.998795
14,13.998699
12,11.998973
24,23.998852
18,17.998837
11,10.99903
8,7.9989505
5,4.998987
7,6.999096
17,16.999237
12,11.999209
8,7.999316
12,11.999176
11,10.999161
9,8.999134
21,20.999184
16,15.998993
30,29.99907
17,16.998806
13,12.998929
12,11.998874
11,10.998872
15,14.999007
20,19.999058
16,15.998957
19,18.998968
15,14.9989
9,8.998875
16,15.998983
8,7.998842
24,23.99892
25,24.998934
25,24.998793
9,8.998854
31,30.998829
5,4.998831
25,24.998829
15,14.998995
18,17.998905
21,20.99885
11,10.998906
21,20.998852
21,20.998808
16,15.998934
17,16.998817
12,11.998835
16,15.998904
12,11.998988
8,7.9988785
18,17.999018
14,13.998927
15,14.998968
14,13.999037
11,10.99898
12,11.999115
9,8.999033
6,5.9991493
8,7.9991674
13,12.999116
13,12.999189
9,8.999062
12,11.99898
9,8.998982
8,7.9991207
15,14.998922
26,25.998993
10,9.998957
20,19.998867
15,14.998818
18,17.99884
14,13.998976
11,10.998953
28,27.998962
7,6.999021
11,10.999018
11,10.998947
13,12.9988365
10,9.999079
11,10.998988
15,14.999109
25,24.998964
15,14.998927
12,11.998997
20,19.998964
6,5.998919
6,5.9989486
6,5.999074
9,8.998974
16,15.999079
0,-0.0009357929
3,2.9991188
4,3.9992242
12,11.999233
11,10.9993105
12,11.999264
3,2.999185
6,5.9991584
12,11.999258
12,11.999169
7,6.9991817
19,18.999035
10,9.99901
10,9.998924
9,8.999142
2,1.9990964
30,29.999168
6,5.9991364
2,1.9991598
2,1.9992326
5,4.999272
2,1.9994279
14,13.999491
6,5.999342
9,8.9993305
0,-0.00063461065
4,3.999383
3,2.9994326
14,13.999397
11,10.999332
9,8.999139
4,3.9992623
0,-0.0007805824
0,-0.0005502105
11,10.999402
3,2.9994907
0,-0.00044441223
5,4.999548
1,0.99947476
6,5.999625
3,2.99965
19,18.99931
21,20.999306
5,4.9991584
5,4.999184
2,1.9991902
3,2.9993505
5,4.999317
3,2.999456
5,4.9994082
4,3.9995427
2,1.9995344
8,7.9994307
3,2.9994726
0,-0.00040745735
6,5.9995446
9,8.999371
11,10.99935
0,-0.0006315708
3,2.9993825
3,2.9994125
2,1.9993182
0,-0.00045788288
2,1.9995492
4,3.9995313
11,10.999414
2,1.9994137
3,2.999414
6,5.9993896
6,5.999337
3,2.999486
7,6.9993873
1,0.99942243
12,11.999442
9,8.999445
10,9.999353
5,4.999423
6,5.9993176
31,30.99922
9,8.999099
12,11.999014
10,9.999011
10,9.999002
10,9.999081
12,11.999158
18,17.999027
28,27.999062
14,13.998978
20,19.998959
15,14.998747
13,12.9988785
15,14.999077
5,4.998994
2,1.9991215
17,16.999075
6,5.9992046
