Actual,Predicted
43,36.127457
25,33.947495
37,35.509754
24,34.961533
35,32.730133
48,33.61194
32,34.82481
23,32.130066
37,34.63096
46,36.242542
20,31.369143
41,33.114532
28,34.113617
26,32.061646
27,28.21192
38,31.832344
21,27.867746
13,24.89207
26,24.79204
19,23.20503
25,20.621807
18,20.010569
18,21.094933
37,23.345995
33,26.26126
16,24.37686
36,28.042646
0,0.46097988
24,4.915446
0,2.076095
2,1.9300617
5,2.9966242
0,2.0260937
2,1.8788366
0,1.8318989
2,1.816223
6,2.004073
11,16.052933
25,17.724043
5,15.974488
22,16.291311
14,15.229728
22,17.493093
31,18.776226
19,21.371447
3,17.566889
15,17.674253
2,13.5765505
9,9.1019945
15,8.361367
19,11.581185
17,11.995354
5,12.647049
16,14.093402
18,14.697687
2,11.294063
11,10.08738
11,11.301764
18,11.715571
16,11.324294
11,13.179904
11,13.202024
16,14.2779455
14,13.416822
18,13.907747
15,14.637771
13,15.003885
9,13.571701
19,14.590625
5,11.908
16,12.105664
22,13.958814
25,17.112469
0,3.5487912
5,4.6678224
5,5.2620397
6,5.118343
7,4.7275352
2,5.1899557
0,4.1456256
0,3.0747051
6,2.8873897
4,2.233441
11,4.1916084
2,4.6425915
4,5.4817986
3,4.9381237
10,6.272237
9,5.774347
12,7.8252816
9,8.910433
4,9.074651
0,7.0483346
8,6.9342027
7,5.770921
8,5.4604793
7,6.1350255
10,8.133256
1,6.6307936
4,6.154339
8,6.174666
9,6.5085616
11,6.6539035
7,7.958715
6,10.40956
11,8.398263
10,6.6478505
4,6.868114
7,7.3229623
5,7.183069
17,8.408965
2,6.8430924
6,7.27739
11,7.938042
6,8.097811
3,5.2088585
12,7.2387958
9,7.879335
8,7.4147553
7,7.6307607
14,9.916604
3,8.182534
6,7.463926
6,6.8725967
11,7.662653
11,7.0756054
0,6.526335
3,2.8173733
0,2.7020173
2,1.8999841
6,3.017734
0,2.0288122
5,2.3513021
3,2.983206
6,3.7598994
0,2.6888003
0,2.6925607
6,2.845712
2,2.6131148
0,1.434416
3,2.003442
0,1.9812182
10,2.8679476
8,4.0995893
5,5.1485133
2,4.904305
0,5.021872
10,5.0368667
6,4.599231
7,4.876715
8,6.055763
5,6.9841638
3,5.48305
2,4.689211
0,3.4045606
2,2.286378
0,1.359854
5,1.7246171
0,1.3497024
5,2.3343768
0,1.8627858
5,2.8236508
0,1.8748934
2,2.2664745
